Number,Title,Artists
1,D Rose,Lil Pump
2,Nonstop,Drake
3,Bustdown Rollie Avalanche,"Kai Cenat, NLE Choppa"
4,Rolex,Ayo &amp; Teo
5,"BIG BEN - From ""Buzz House"" The Movie","Mgk666, Beach, Please!"
6,witchblades,"Lil Peep, Lil Tracy"
