Number,Title,Artists
106,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign &amp; Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
107,Faucet Failure,Ski Mask The Slump God
108,Foot Fungus,Ski Mask The Slump God
109,Levitating (feat. DaBaby),"Dua Lipa, DaBaby"
110,Unavalable song,
111,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
112,2K FREESTYLE,"Lazy3x, Lil Darkie"
113,20 Min,Lil Uzi Vert
114,NC-17,Travis Scott
115,WHO? WHAT!,Travis Scott
116,HOUSTONFORNICATION,Travis Scott
117,COFFEE BEAN,Travis Scott
118,Many Men,"21 Savage, Metro Boomin"
119,Body (Remix) [feat. Capo Plaza &amp; Rondodasosa],"Tion Wayne, Russ Millions, Capo Plaza, Rondodasosa"
120,Annabelle,Skinny Flex
121,Plain Jane REMIX (feat. Nicki Minaj),"A$AP Ferg, Nicki Minaj"
122,Heartless,Kanye West
123,Fukk Sleep (feat. FKA twigs),"A$AP Rocky, FKA twigs"
124,Sanguine Paradise,Lil Uzi Vert
125,Miss The Rage (feat. Playboi Carti),"Trippie Redd, Playboi Carti"
126,Magnolia,Playboi Carti
127,Shoota (feat. Lil Uzi Vert),"Playboi Carti, Lil Uzi Vert"
128,XO Tour Llif3,Lil Uzi Vert
129,Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky, Skepta"
130,Life Is Good (feat. Drake),"Future, Drake"
131,P2,Lil Uzi Vert
132,Show Out (with Skepta &amp; Pop Smoke),"Kid Cudi, Skepta, Pop Smoke"
133,Myron,Lil Uzi Vert
134,Unbothered,Ski Mask The Slump God
135,Off The Grid,Kanye West
136,God Breathed,Kanye West
137,Praise God,Kanye West
138,Junya,Kanye West
139,Big Shark,Russ Millions
140,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow"
141,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber"
142,Don’t Go (with Justin Bieber &amp; Don Toliver),"Skrillex, Justin Bieber, Don Toliver"
143,She Make It Clap,Soulja Boy
144,m y . l i f e (with 21 Savage &amp; Morray),"J. Cole, 21 Savage, Morray"
145,Fair Trade (with Travis Scott),"Drake, Travis Scott"
146,Icon,Jaden
147,SHAWTY (feat. Sacky),"Rondodasosa, Nko, Sacky"
148,Obsessed With You,Central Cee
149,Loading,Central Cee
150,Day in the Life,Central Cee
151,Smile (with The Weeknd),"Juice WRLD, The Weeknd"
152,Lost in the Fire (feat. The Weeknd),"Gesaffelstein, The Weeknd"
153,p r i d e . i s . t h e . d e v i l (with Lil Baby),"J. Cole, Lil Baby"
154,Way 2 Sexy (with Future &amp; Young Thug),"Drake, Future, Young Thug"
155,a lot,21 Savage
156,Heaven and Hell,Kanye West
157,In Da Getto,"J Balvin, Skrillex"
158,Flocky Flocky (feat. Travis Scott),"Don Toliver, Travis Scott"
159,XSCAPE,Don Toliver
160,London View - Remix,"OTP, BM, Marin, Rambizz"
161,Sky,Playboi Carti
162,wokeuplikethis*,"Playboi Carti, Lil Uzi Vert"
163,Livin It Up (with Post Malone &amp; A$AP Rocky),"Young Thug, A$AP Rocky, Post Malone"
164,Bubbly (with Drake &amp; Travis Scott),"Young Thug, Drake, Travis Scott"
165,POCKET ROCKET,Cochise
166,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd"
167,ESCAPE PLAN,Travis Scott
168,MAFIA,Travis Scott
169,One Right Now (with The Weeknd),"Post Malone, The Weeknd"
170,Mo Bamba,Sheck Wes
171,Panda,Desiigner
172,"Whats Poppin (feat. DaBaby, Tory Lanez &amp; Lil Wayne) [Remix] - Bonus Track","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne"
173,Get Back,Pop Smoke
174,Babushka Boi,A$AP Rocky
175,Armed N Dangerous,Pop Smoke
176,Own Brand Freestyle,"FelixThe1st, Dréya Mac, Finch Fetti"
177,Danny Phantom (feat. XXXTENTACION),"Trippie Redd, XXXTENTACION"
178,Again (feat. XXXTENTACION),"Noah Cyrus, XXXTENTACION"
179,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb"
180,hot girl bummer,blackbear
181,allein allein,"Ufo361, Pashanim"
182,paris freestyle - skrilla remix,"Pashanim, skrilla"
183,Sommergewitter,Pashanim
184,Airwaves,Pashanim
185,Pray For Me (with Kendrick Lamar),"The Weeknd, Kendrick Lamar"
186,Power is Power (feat. The Weeknd &amp; Travis Scott),"SZA, The Weeknd, Travis Scott, Game of Thrones"
187,Stronger,Kanye West
188,How Do I Make You Love Me?,The Weeknd
189,Take My Breath,The Weeknd
190,Sacrifice,The Weeknd
191,"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd, Tyler, The Creator"
192,Best Friends,The Weeknd
193,Is There Someone Else?,The Weeknd
194,Starry Eyes,The Weeknd
195,I Heard You’re Married (feat. Lil Wayne),"The Weeknd, Lil Wayne"
196,Use This Gospel,"Kanye West, Clipse, Kenny G"
197,Hate The Way (feat. blackbear),"G-Eazy, blackbear"
198,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers"
199,Drugs N Hella Melodies (feat. Kali Uchis),"Don Toliver, Kali Uchis"
200,Adam &amp; Eve,Calboy
201,Whole Lotta Lovin',"Mustard, Travis Scott"
202,"F**kin' Problems (feat. Drake, 2 Chainz &amp; Kendrick Lamar)","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar"
203,Radioactive,"Imagine Dragons, Kendrick Lamar"
204,a m a r i,J. Cole
205,Sidewalks,"The Weeknd, Kendrick Lamar"
206,Love Game,"Eminem, Kendrick Lamar"
207,Backseat Freestyle,Kendrick Lamar
208,Wet Dreamz - Live,J. Cole
209,you &amp; me,"Gunna, Chlöe"
210,Formula,Labrinth
211,Still Don't Know My Name,Labrinth
212,Yo Voy (feat. Daddy Yankee),Zion &amp; Lennox
213,Heartburn,Wafia
214,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends"
215,Tell Em,"Cochise, $NOT"
216,White Tee (with NO1-NOAH),"Summer Walker, NO1-NOAH"
217,When I R.I.P.,Labrinth
218,Mount Everest,Labrinth
219,Aim For The Moon (feat. Quavo),"Pop Smoke, Quavo"
220,pushin P (feat. Young Thug),"Gunna, Future, Young Thug"
221,One Dance,"Drake, Wizkid, Kyla"
222,City of Gods,"Fivio Foreign, Kanye West, Alicia Keys"
223,Tequila Shots,Kid Cudi
224,Day 'N' Nite (Nightmare),Kid Cudi
225,Drip Too Hard (Lil Baby &amp; Gunna),"Lil Baby, Gunna"
226,Vamp Anthem,Playboi Carti
227,CLOSE (feat. Travis Scott) - From SR3MM,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Travis Scott"
228,This Could Be Us,Rae Sremmurd
229,New Choppa,"Playboi Carti, A$AP Rocky"
230,Diana (feat. King Combs),"Pop Smoke, King Combs"
231,Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie, 6ix9ine"
232,One Minute (feat. Kanye West &amp; Travis Barker),"XXXTENTACION, Kanye West, Travis Barker"
233,Off the Wall!,"XXXTENTACION, Ski Mask The Slump God"
234,Walls Could Talk,Halsey
235,The Woo (feat. 50 Cent &amp; Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch"
236,6 For 6,Central Cee
237,Paranoia (feat. Gunna &amp; Young Thug),"Pop Smoke, Gunna, Young Thug"
238,More Time,Pop Smoke
239,Hotel Lobby,Pop Smoke
240,Yea Yea,Pop Smoke
241,Shotta Flow (feat. Blueface) [Remix],"NLE Choppa, Blueface"
242,Monëy so big,Yeat
243,She Knows (feat. Amber Coffman &amp; Cults),"J. Cole, Cults, Amber Coffman"
244,Beretta,Guy2Bezbar
245,Snake,Lil Keed
246,Wavy (Remix) [feat. Travis Scott],"Lil Keed, Travis Scott"
247,EA (feat. 21 Savage),"Young Nudy, 21 Savage"
248,Astral Plane (High As Me),UnoTheActivist
249,Switching Lanes (feat. Playboi Carti),"Pi’erre Bourne, Playboi Carti"
250,Silent Hill,"Kendrick Lamar, Kodak Black"
251,Count Me Out,Kendrick Lamar
252,N95,Kendrick Lamar
253,United In Grief,Kendrick Lamar
254,True Love,"Kanye West, XXXTENTACION"
255,Look At Me!,XXXTENTACION
256,Doja,Central Cee
257,Woo,Rihanna
258,"Next Up - S4-E2, Pt. 1","JBEE, Mixtape Madness"
259,Mood Swings (feat. Lil Tjay),"Pop Smoke, Lil Tjay"
260,Just Wanna Rock,Lil Uzi Vert
261,Rich Flex,"Drake, 21 Savage"
262,ball w/o you,21 Savage
263,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar"
264,All Mine,Kanye West
265,On Time (with John Legend),"Metro Boomin, John Legend"
266,Superhero (Heroes &amp; Villains) [with Future &amp; Chris Brown],"Metro Boomin, Future, Chris Brown"
267,Too Many Nights (feat. Don Toliver &amp; with Future),"Metro Boomin, Future, Don Toliver"
268,Raindrops (Insane) [with Travis Scott],"Metro Boomin, Travis Scott"
269,Umbrella (with 21 Savage &amp; Young Nudy),"Metro Boomin, 21 Savage, Young Nudy"
270,Trance (with Travis Scott &amp; Young Thug),"Metro Boomin, Travis Scott, Young Thug"
271,Around Me (feat. Don Toliver),"Metro Boomin, Don Toliver"
272,Metro Spider (with Young Thug),"Metro Boomin, Young Thug"
273,I Can't Save You (Interlude) [with Future &amp; feat. Don Toliver],"Metro Boomin, Future, Don Toliver"
274,Creepin' (with The Weeknd &amp; 21 Savage),"Metro Boomin, The Weeknd, 21 Savage"
275,Niagara Falls (Foot or 2) [with Travis Scott &amp; 21 Savage],"Metro Boomin, Travis Scott, 21 Savage"
276,Walk Em Down (Don't Kill Civilians) [with 21 Savage &amp; feat. Mustafa],"Metro Boomin, 21 Savage, Mustafa"
277,Lock On Me (with Travis Scott &amp; Future),"Metro Boomin, Travis Scott, Future"
278,Feel The Fiyaaaah (with A$AP Rocky &amp; feat. Takeoff),"Metro Boomin, A$AP Rocky, Takeoff"
279,All The Money (with Gunna) [Bonus],"Metro Boomin, Gunna"
280,HOTEL LOBBY (Unc &amp; Phew),"Quavo, Takeoff"
281,LET GO,Central Cee
282,The Color Violet,Tory Lanez
283,Lavender Sunflower,Tory Lanez
284,And This is Just The Intro,Tory Lanez
285,Broke In A Minute,Tory Lanez
286,Quickie,Moneybagg Yo
287,I LIKE,Tory Lanez
288,Hold That Heat (feat. Travis Scott),"Southside, Future, Travis Scott"
289,Circo Loco,"Drake, 21 Savage"
290,DO IT AGAIN (feat. 2Rare),"NLE Choppa, 2Rare"
291,Rumble,"Skrillex, Fred again.., Flowdan"
292,Way Back,"Skrillex, PinkPantheress, Trippie Redd"
293,not so bad at all,ƵICKȺț
294,DEALER (feat. Future &amp; Lil Baby),"RMR, Future, Lil Baby"
295,sdp interlude,Travis Scott
296,Glock In My Lap,"21 Savage, Metro Boomin"
297,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage"
298,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby"
299,Not So Bad (Leans Gone Cold),Rae Sremmurd
300,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar"
301,I Know,Post Malone
302,All My Life (feat. J. Cole),"Lil Durk, J. Cole"
303,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk"
304,Sprinter,"Dave, Central Cee"
305,Father Stretch My Hands Pt. 1,Kanye West
306,Freestyle,Lil Baby
307,WORTH IT (feat. Don Toliver),"Offset, Don Toliver"
308,IDGAF (feat. Yeat),"Drake, Yeat"
309,HYAENA,Travis Scott
310,THANK GOD,Travis Scott
